,Key,jpath
0,personal[ 	]*glipse,"['basics', 'personal']"
1,personal[ 	]*details,"['basics', 'personal']"
2,additional[ 	]*information,"['basics', 'personal']"
3,about[ 	]*me,"['basics', 'personal']"
4,synopsis,"['basics', 'personal']"
5,personal[ 	]*strength,"['basics', 'personal']"
6,personal,"['basics', 'personal']"
7,personal[ 	]*strength,"['basics', 'personal']"
8,personal[ 	]*information,"['basics', 'personal']"
9,personal[ 	]*summary,"['basics', 'personal']"
10,personal[ 	]*information,"['basics', 'personal']"
11,personal[ 	]*dossier,"['basics', 'personal']"
12,personnal[ 	]*details,"['basics', 'personal']"
13,personal[ 	]*profile,"['basics', 'personal']"
14,personal[ 	]*info,"['basics', 'personal']"
15,personal[ 	]*traits,"['basics', 'personal']"
16,personal[ 	]*detail,"['basics', 'personal']"
17,personal[ 	]*information,"['basics', 'personal']"
18,personal[ 	]*interests,"['basics', 'personal']"
19,personal[ 	]*attributes,"['basics', 'personal']"
20,personal[ 	]*vitae,"['basics', 'personal']"
21,personal[ 	]*background,"['basics', 'personal']"
22,personal[ 	]*strengths,"['basics', 'personal']"
23,linkedin[ 	]*profile,"['basics', 'personal']"
24,personal[ 	]*skills,"['basics', 'personal']"
25,personal[ 	]*attributes,"['basics', 'personal']"
26,passport[ 	]*details,"['basics', 'personal']"
27,profile,"['basics', 'personal']"
28,academic[ 	]*profile,"['basics', 'personal']"
29,personel[ 	]*information,"['basics', 'personal']"
30,personal[ 	]*info,"['basics', 'personal']"
31,personals[ 	]*details,"['basics', 'personal']"
32,personal[ 	]*informations,"['basics', 'personal']"
33,personal[ 	]*profile,"['basics', 'personal']"
34,personal[ 	]*dossier,"['basics', 'personal']"
35,personal[ 	]*details,"['basics', 'personal']"
36,personal[ 	]*details,"['basics', 'personal']"
37,personal[ 	]*qualities,"['basics', 'personal']"
38,personality[ 	]*traits,"['basics', 'personal']"
39,personal[ 	]*skills,"['basics', 'personal']"
40,personal[ 	]*traits,"['basics', 'personal']"
41,personal[ 	]*detail,"['basics', 'personal']"
42,personnal[ 	]*details,"['basics', 'personal']"
43,personal[ 	]*vitae,"['basics', 'personal']"
44,personal[ 	]*qualities,"['basics', 'personal']"
45,name,"['basics', 'name']"
46,name,"['basics', 'name']"
47,name,"['basics', 'name']"
48,position,"['basics', 'label']"
49,position,"['basics', 'label']"
50,designation,"['basics', 'label']"
51,title,"['basics', 'label']"
52,,"['basics', 'image']"
53,dob,"['basics', 'dob']"
54,date[ 	]*of[ 	]*birth,"['basics', 'dob']"
55,date[ 	]*of[ 	]*birth,"['basics', 'dob']"
56,email,"['basics', 'email']"
57,emails,"['basics', 'email']"
58,e-mail[ 	]*id,"['basics', 'email']"
59,e-mail[ 	]*id,"['basics', 'email']"
60,e-mail,"['basics', 'email']"
61,e-mail,"['basics', 'email']"
62,e-mail,"['basics', 'email']"
63,e-mail,"['basics', 'email']"
64,email[ 	]*id,"['basics', 'email']"
65,email[ 	]*address,"['basics', 'email']"
66,email[ 	]*me[ 	]*on[ 	]*indeed,"['basics', 'email']"
67,email[ 	]*id,"['basics', 'email']"
68,email-id,"['basics', 'email']"
69,mailto,"['basics', 'email']"
70,h(&|and)[ 	]*phone,"['basics', 'email']"
71,email-id,"['basics', 'email']"
72,email,"['basics', 'email']"
73,email[ 	]*id[ 	]*msn,"['basics', 'email']"
74,e,"['basics', 'email']"
75,email,"['basics', 'email']"
76,email[ 	]*ma[ 	]*on[ 	]*indeed,"['basics', 'email']"
77,email[ 	]*id,"['basics', 'email']"
78,email,"['basics', 'email']"
79,mail[ 	]*id,"['basics', 'email']"
80,mail[ 	]*id,"['basics', 'email']"
81,phone,"['basics', 'phone']"
82,t,"['basics', 'phone']"
83,contact[ 	]*details,"['basics', 'phone']"
84,contact,"['basics', 'phone']"
85,contact[ 	]*no,"['basics', 'phone']"
86,alternate[ 	]*contact,"['basics', 'phone']"
87,contact[ 	]*information,"['basics', 'phone']"
88,contact[ 	]*no,"['basics', 'phone']"
89,cell[ 	]*no,"['basics', 'phone']"
90,contact[ 	]*no,"['basics', 'phone']"
91,contact[ 	]*at,"['basics', 'phone']"
92,contact[ 	]*no.,"['basics', 'phone']"
93,mobile[ 	]*no.,"['basics', 'phone']"
94,mobile,"['basics', 'phone']"
95,mobile[ 	]*numbers,"['basics', 'phone']"
96,(m),"['basics', 'phone']"
97,m,"['basics', 'phone']"
98,phone[ 	]*no.,"['basics', 'phone']"
99,phone,"['basics', 'phone']"
100,tal,"['basics', 'phone']"
101,ph,"['basics', 'phone']"
102,phone[ 	]*(mobile),"['basics', 'phone']"
103,mobile[ 	]*no,"['basics', 'phone']"
104,telephone[ 	]*no,"['basics', 'phone']"
105,tel,"['basics', 'phone']"
106,mobile[ 	]*no,"['basics', 'phone']"
107,gsm,"['basics', 'phone']"
108,mobile,"['basics', 'phone']"
109,cell,"['basics', 'phone']"
110,mobile[ 	]*ph,"['basics', 'phone']"
111,phone[ 	]*no.,"['basics', 'phone']"
112,mobile[ 	]*no.,"['basics', 'phone']"
113,phone[ 	]*(mobile),"['basics', 'phone']"
114,other[ 	]*(mobile),"['basics', 'phone']"
115,contact[ 	]*details,"['basics', 'phone']"
116,cell[ 	]*phone,"['basics', 'phone']"
117,marital[ 	]*status,"['basics', 'marital status']"
118,gender,"['basics', 'gender']"
119,nationality,"['basics', 'nationality']"
120,,"['basics', 'url']"
121,about[ 	]*me,"['basics', 'summary']"
122,summary,"['basics', 'summary']"
123,job[ 	]*objective,"['basics', 'summary']"
124,summary,"['basics', 'summary']"
125,[a][ 	]*summary,"['basics', 'summary']"
126,job[ 	]*objective,"['basics', 'summary']"
127,co-curricular[ 	]*activities,"['basics', 'summary']"
128,ex-curricular[ 	]*activities,"['basics', 'summary']"
129,abilities,"['basics', 'summary']"
130,career[ 	]*vision,"['basics', 'summary']"
131,vision,"['basics', 'summary']"
132,objective,"['basics', 'summary']"
133,brief[ 	]*overview,"['basics', 'summary']"
134,profile[ 	]*summary,"['basics', 'summary']"
135,career[ 	]*contour,"['basics', 'summary']"
136,job[ 	]*objective,"['basics', 'summary']"
137,career[ 	]*vision,"['basics', 'summary']"
138,objective,"['basics', 'summary']"
139,overview,"['basics', 'summary']"
140,profile[ 	]*summary,"['basics', 'summary']"
141,synopsis,"['basics', 'summary']"
142,profile[ 	]*summary,"['basics', 'summary']"
143,career[ 	]*objective,"['basics', 'summary']"
144,carrier[ 	]*objectives,"['basics', 'summary']"
145,career[ 	]*objective,"['basics', 'summary']"
146,career[ 	]*objective[ 	]*(&|and)[ 	]*summary,"['basics', 'summary']"
147,career[ 	]*objectives,"['basics', 'summary']"
148,objectives,"['basics', 'summary']"
149,objectives,"['basics', 'summary']"
150,address,"['basics', 'location', 'address']"
151,address,"['basics', 'location', 'address']"
152,current[ 	]*address,"['basics', 'location', 'address']"
153,present[ 	]*location,"['basics', 'location', 'address']"
154,present[ 	]*location,"['basics', 'location', 'address']"
155,residence,"['basics', 'location', 'address']"
156,current[ 	]*location,"['basics', 'location', 'address']"
157,add,"['basics', 'location', 'address']"
158,corresponding[ 	]*address,"['basics', 'location', 'address']"
159,pin[ 	]*no,"['basics', 'location', 'postalcode']"
160,,"['basics', 'location', 'city']"
161,,"['basics', 'location', 'countrycode']"
162,,"['basics', 'location', 'region']"
163,,"['basics', 'profiles', 'network']"
164,,"['basics', 'profiles', 'username']"
165,linkedin,"['basics', 'profiles', 'url']"
166,skype,"['basics', 'profiles', 'url']"
167,linked-in,"['basics', 'profiles', 'url']"
168,linkedin,"['basics', 'profiles', 'url']"
169,employment[ 	]*details,"['work experience', 'experience']"
170,previously[ 	]*worked,"['work experience', 'experience']"
171,previous[ 	]*work[ 	]*experience,"['work experience', 'experience']"
172,work[ 	]*(&|and)[ 	]*experiance,"['work experience', 'experience']"
173,organisational[ 	]*experience,"['work experience', 'experience']"
174,hardware[ 	]*(&|and)[ 	]*networking[ 	]*experience,"['work experience', 'experience']"
175,project[ 	]*resposibilities,"['work experience', 'experience']"
176,professional[ 	]*qualification,"['work experience', 'experience']"
177,overall[ 	]*experience,"['work experience', 'experience']"
178,total[ 	]*professional[ 	]*experience,"['work experience', 'experience']"
179,project[ 	]*(&|and)[ 	]*work[ 	]*responsibilities,"['work experience', 'experience']"
180,software[ 	]*projects,"['work experience', 'experience']"
181,past[ 	]*work[ 	]*history[ 	]*(&|and)[ 	]*experience,"['work experience', 'experience']"
182,key[ 	]*projects,"['work experience', 'experience']"
183,professional[ 	]*synopsis,"['work experience', 'experience']"
184,professional[ 	]*attainments,"['work experience', 'experience']"
185,organizational[ 	]*experience,"['work experience', 'experience']"
186,organizational[ 	]*experience,"['work experience', 'experience']"
187,organisational[ 	]*experience,"['work experience', 'experience']"
188,organisational[ 	]*experience,"['work experience', 'experience']"
189,employment[ 	]*chronicle,"['work experience', 'experience']"
190,key[ 	]*projects[ 	]*h(&|and)led,"['work experience', 'experience']"
191,onsite[ 	]*exposure,"['work experience', 'experience']"
192,technical[ 	]*profile,"['work experience', 'experience']"
193,professional[ 	]*experience[ 	]*(&|and)[ 	]*details,"['work experience', 'experience']"
194,areas[ 	]*of[ 	]*expertise,"['work experience', 'experience']"
195,project[ 	]*work,"['work experience', 'experience']"
196,key[ 	]*projects[ 	]*undertaken,"['work experience', 'experience']"
197,organisational[ 	]*scan,"['work experience', 'experience']"
198,employment[ 	]*history,"['work experience', 'experience']"
199,organizational[ 	]*scan,"['work experience', 'experience']"
200,professional[ 	]*digest,"['work experience', 'experience']"
201,employment[ 	]*history,"['work experience', 'experience']"
202,professional[ 	]*history,"['work experience', 'experience']"
203,project[ 	]*experience,"['work experience', 'experience']"
204,career[ 	]*history,"['work experience', 'experience']"
205,last[ 	]*experience,"['work experience', 'experience']"
206,profile[ 	]*(&|and)[ 	]*experience[ 	]*summary,"['work experience', 'experience']"
207,h(&|and)led[ 	]*projects,"['work experience', 'experience']"
208,project[ 	]*worked,"['work experience', 'experience']"
209,experience[ 	]*chronology,"['work experience', 'experience']"
210,current[ 	]*projects,"['work experience', 'experience']"
211,current[ 	]*organization[ 	]*details,"['work experience', 'experience']"
212,projects[ 	]*undertaken,"['work experience', 'experience']"
213,executive[ 	]*profile,"['work experience', 'experience']"
214,current[ 	]*employer,"['work experience', 'experience']"
215,projects,"['work experience', 'experience']"
216,projects[ 	]*h(&|and)led,"['work experience', 'experience']"
217,projects,"['work experience', 'experience']"
218,projects[ 	]*details,"['work experience', 'experience']"
219,project[ 	]*details,"['work experience', 'experience']"
220,projects[ 	]*details,"['work experience', 'experience']"
221,projects[ 	]*worked[ 	]*on,"['work experience', 'experience']"
222,projects[ 	]*h(&|and)led,"['work experience', 'experience']"
223,projects[ 	]*undertaken,"['work experience', 'experience']"
224,onsite[ 	]*experience,"['work experience', 'experience']"
225,projects[ 	]*profile,"['work experience', 'experience']"
226,experience[ 	]*summary,"['work experience', 'experience']"
227,experience[ 	]*details,"['work experience', 'experience']"
228,experience,"['work experience', 'experience']"
229,experience,"['work experience', 'experience']"
230,experiences,"['work experience', 'experience']"
231,experience[ 	]*summary,"['work experience', 'experience']"
232,experience[ 	]*summary,"['work experience', 'experience']"
233,experience[ 	]*snapshot,"['work experience', 'experience']"
234,working[ 	]*experience,"['work experience', 'experience']"
235,working[ 	]*experience,"['work experience', 'experience']"
236,job[ 	]*experience,"['work experience', 'experience']"
237,work[ 	]*experince,"['work experience', 'experience']"
238,working[ 	]*experience[ 	]*with,"['work experience', 'experience']"
239,work[ 	]*areas,"['work experience', 'experience']"
240,work[ 	]*history,"['work experience', 'experience']"
241,work[ 	]*(&|and)[ 	]*experiance,"['work experience', 'experience']"
242,work[ 	]*profile,"['work experience', 'experience']"
243,employment[ 	]*experience,"['work experience', 'experience']"
244,work[ 	]*experience[ 	]*(&|and)[ 	]*professional[ 	]*experience,"['work experience', 'experience']"
245,professional[ 	]*experience,"['work experience', 'experience']"
246,work[ 	]*history,"['work experience', 'experience']"
247,work[ 	]*experience,"['work experience', 'experience']"
248,work[ 	]*history,"['work experience', 'experience']"
249,work[ 	]*experience,"['work experience', 'experience']"
250,work[ 	]*experience[ 	]*details,"['work experience', 'experience']"
251,total[ 	]*work[ 	]*experience,"['work experience', 'experience']"
252,total[ 	]*work[ 	]*experience,"['work experience', 'experience']"
253,organisation,"['work experience', 'name']"
254,organisation,"['work experience', 'name']"
255,organisation,"['work experience', 'name']"
256,employers[ 	]*name,"['work experience', 'name']"
257,name[ 	]*of[ 	]*the[ 	]*company,"['work experience', 'name']"
258,employer,"['work experience', 'name']"
259,work[ 	]*history,"['work experience', 'name']"
260,employer[ 	]*(&|and)[ 	]*role[ 	]*details,"['work experience', 'name']"
261,employers[ 	]*name,"['work experience', 'name']"
262,organization[ 	]*name,"['work experience', 'name']"
263,earlier[ 	]*organization,"['work experience', 'name']"
264,organization,"['work experience', 'name']"
265,organization[ 	]*(&|and)[ 	]*culture[ 	]*change,"['work experience', 'name']"
266,organization,"['work experience', 'name']"
267,organizational[ 	]*experience,"['work experience', 'name']"
268,organization[ 	]*name,"['work experience', 'name']"
269,organisation,"['work experience', 'name']"
270,company[ 	]*profile,"['work experience', 'name']"
271,company[ 	]*industry,"['work experience', 'name']"
272,company[ 	]*name,"['work experience', 'name']"
273,company[ 	]*name,"['work experience', 'name']"
274,company,"['work experience', 'name']"
275,company[ 	]*duties,"['work experience', 'name']"
276,company[ 	]*profile,"['work experience', 'name']"
277,company[ 	]*role[ 	]*designation,"['work experience', 'name']"
278,company[ 	]*name,"['work experience', 'name']"
279,title,"['work experience', 'title']"
280,designation,"['work experience', 'title']"
281,designation(&|and)[ 	]*role,"['work experience', 'title']"
282,title/designation,"['work experience', 'title']"
283,designation,"['work experience', 'title']"
284,designation,"['work experience', 'title']"
285,present[ 	]*organization,"['work experience', 'title']"
286,true/false,"['work experience', 'current_employer']"
287,location,"['work experience', 'location']"
288,location,"['work experience', 'location']"
289,work[ 	]*locations,"['work experience', 'location']"
290,location,"['work experience', 'location']"
291,short[ 	]*description,"['work experience', 'description']"
292,description,"['work experience', 'description']"
293,description[ 	]*(&|and)[ 	]*responsibilities,"['work experience', 'description']"
294,description,"['work experience', 'description']"
295,descriptions,"['work experience', 'description']"
296,job[ 	]*description,"['work experience', 'description']"
297,job[ 	]*description,"['work experience', 'description']"
298,position[ 	]*held,"['work experience', 'position']"
299,position,"['work experience', 'position']"
300,position,"['work experience', 'position']"
301,joined[ 	]*as,"['work experience', 'position']"
302,company[ 	]*role[ 	]*designation,"['work experience', 'position']"
303,development[ 	]*tools,"['work experience', 'tools/enviroment']"
304,tool[ 	]*data,"['work experience', 'tools/enviroment']"
305,integration[ 	]*tool,"['work experience', 'tools/enviroment']"
306,technology[ 	]*used,"['work experience', 'tools/enviroment']"
307,technology,"['work experience', 'tools/enviroment']"
308,tools[ 	]*(&|and)[ 	]*technology,"['work experience', 'tools/enviroment']"
309,tools/platform,"['work experience', 'tools/enviroment']"
310,tools[ 	]*using,"['work experience', 'tools/enviroment']"
